Mesoderm	Primitive_Endoderm	Core_Pluripotency	Cell_Cycle	Primed_Pluripotency	Neuroectoderm	Chromatin_Modulator	Endoderm	Signalling	Loading_Control	Naive_Pluripotency	Trophoectoderm
GATA1	GATA4	BMP4	CDK2	CD34	BMP7	BMI1	FOXA2	BMPR1A	ACTB	DPPA3	CDX2
GSC	GATA6	CDH1	MKI67IP	CLDN6	CDH2	CTCF	MIXL1	CTNNB1	GAPDH	ESRRB	EOMES
MEF2A		FGF4	RCC1	FGF5	GFAP	DNMT1		FGFR2		FBXO15	HAND1
TGM2		GDF3	TRP53	T	GLI2	DNMT3B		GRB2		KLF4	
		JARID2			HES1	DPPA4		GSK3B		NR0B1	
		LIF			ISL1	EZH2		IGF2		NR5A2	
		LIN28			MBP	HDAC1		JAG1		TBX3	
		MYC			NCAM1	KDM1A		LIFR		ZFP42	
		NANOG			NES	KDM4C		NOTCH1			
		POU5F1			NR6A1	MBD3		PTPN11			
		SALL4			OLIG1	MYST3		SMAD1			
		SOX2			OLIG2	PRMT6		SOCS3			
		TCF3			OTX2	PRMT7		STAT3			
		TCL1			PAX6	SETDB1		WNT3A			
		ZFP281			RAI1	SMARCA4		WNT5A			
					REST	SMARCC1					
					SOX1	UTF1					
					TUBB3	WDR5					
					VIM						
